MAE,MSE,dataset,model,n
0.4843684434890747,0.7605432271957397,MHEALTH,APN,3
0.49056580662727356,0.7627231677373251,MHEALTH,KAFNet,3
0.463904748360316,0.7356349229812622,MHEALTH,GraFITi,3
0.44662808378537494,0.7048015197118124,MHEALTH,tPatchGNN,3
0.6556410193443298,0.8233595689137777,OPPORTUNITY,APN,3
0.6778506835301717,0.8481155832608541,OPPORTUNITY,KAFNet,3
0.6642069419225057,0.8340508143107096,OPPORTUNITY,GraFITi,3
0.5763770143191019,0.7146044174830118,OPPORTUNITY,tPatchGNN,3
0.5041383107503256,0.7948872049649557,PAMAP2,APN,3
0.5233413577079773,0.8162063757578532,PAMAP2,KAFNet,3
0.5089590350786845,0.792691171169281,PAMAP2,GraFITi,3
0.4712307055791219,0.7583834727605184,PAMAP2,tPatchGNN,3
