MAE,MSE,dataset,epochs,metric_path,mode,model,seed,tag
0.439529150724411,0.6967118978500366,MHEALTH,,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/MHEALTH/MCORWrapper/v322_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5301/250_50/2026_0524_2109/iter0/eval_2026_0524_2113/metric.json,,MCORWrapper,,v322_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5301
0.43693530559539795,0.6937322020530701,MHEALTH,,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/MHEALTH/MCORWrapper/v322_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5302/250_50/2026_0524_2119/iter0/eval_2026_0524_2123/metric.json,,MCORWrapper,,v322_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5302
0.4353958070278168,0.6954222321510315,MHEALTH,,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/MHEALTH/MCORWrapper/v322_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5303/250_50/2026_0524_2128/iter0/eval_2026_0524_2131/metric.json,,MCORWrapper,,v322_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5303
0.44446858763694763,0.7036152482032776,MHEALTH,4,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/MHEALTH/tPatchGNN/local_baselines_MHEALTH_tpatchgnn_e4_s5301/250_50/2026_0524_2106/iter0/eval_2026_0524_2108/metric.json,baselines,tPatchGNN,5301,tpatchgnn
0.44334253668785095,0.700092077255249,MHEALTH,4,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/MHEALTH/tPatchGNN/local_baselines_MHEALTH_tpatchgnn_e4_s5302/250_50/2026_0524_2114/iter0/eval_2026_0524_2117/metric.json,baselines,tPatchGNN,5302,tpatchgnn
0.4520731270313263,0.7106972336769104,MHEALTH,4,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/MHEALTH/tPatchGNN/local_baselines_MHEALTH_tpatchgnn_e4_s5303/250_50/2026_0524_2124/iter0/eval_2026_0524_2127/metric.json,baselines,tPatchGNN,5303,tpatchgnn
0.5746147036552429,0.711473822593689,OPPORTUNITY,,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/OPPORTUNITY/MCORWrapper/v322_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5301/300_60/2026_0524_2114/iter0/eval_2026_0524_2118/metric.json,,MCORWrapper,,v322_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5301
0.5719732046127319,0.70382159948349,OPPORTUNITY,,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/OPPORTUNITY/MCORWrapper/v322_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5302/300_60/2026_0524_2122/iter0/eval_2026_0524_2125/metric.json,,MCORWrapper,,v322_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5302
0.5836663842201233,0.7108709216117859,OPPORTUNITY,4,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5301/300_60/2026_0524_2110/iter0/eval_2026_0524_2114/metric.json,baselines,tPatchGNN,5301,tpatchgnn
0.5718290209770203,0.7145020961761475,OPPORTUNITY,4,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5302/300_60/2026_0524_2118/iter0/eval_2026_0524_2122/metric.json,baselines,tPatchGNN,5302,tpatchgnn
0.7458608150482178,0.9576944708824158,OPPORTUNITY,4,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5303/300_60/2026_0524_2132/iter0/eval_2026_0524_2134/metric.json,baselines,tPatchGNN,5303,tpatchgnn
0.4617772102355957,0.7535097002983093,PAMAP2,,/root/autodl-tmp/APN/storage/results_BigData2026_v322_ramstpatch_final/PAMAP2/MCORWrapper/v322_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5301/500_100/2026_0524_2114/iter0/eval_2026_0524_2118/metric.json,,MCORWrapper,,v322_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5301
