MAE,MSE,dataset,epochs,metric_path,mode,model,seed,tag
0.43310514092445374,0.6919969916343689,MHEALTH,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/MHEALTH/MCORWrapper/v323_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5301/250_50/2026_0525_0933/iter0/eval_2026_0525_0934/metric.json,,MCORWrapper,,v323_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5301
0.43693748116493225,0.6937323212623596,MHEALTH,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/MHEALTH/MCORWrapper/v323_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5302/250_50/2026_0525_0939/iter0/eval_2026_0525_0941/metric.json,,MCORWrapper,,v323_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5302
0.4353952705860138,0.6954240202903748,MHEALTH,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/MHEALTH/MCORWrapper/v323_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5303/250_50/2026_0525_0945/iter0/eval_2026_0525_0947/metric.json,,MCORWrapper,,v323_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5303
0.4352666139602661,0.6925963163375854,MHEALTH,8,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/MHEALTH/tPatchGNN/local_baselines_MHEALTH_tpatchgnn_e8_s5301/250_50/2026_0525_0929/iter0/eval_2026_0525_0932/metric.json,baselines,tPatchGNN,5301,tpatchgnn
0.44334253668785095,0.700092077255249,MHEALTH,8,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/MHEALTH/tPatchGNN/local_baselines_MHEALTH_tpatchgnn_e8_s5302/250_50/2026_0525_0936/iter0/eval_2026_0525_0938/metric.json,baselines,tPatchGNN,5302,tpatchgnn
0.4520731270313263,0.7106972336769104,MHEALTH,8,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/MHEALTH/tPatchGNN/local_baselines_MHEALTH_tpatchgnn_e8_s5303/250_50/2026_0525_0942/iter0/eval_2026_0525_0944/metric.json,baselines,tPatchGNN,5303,tpatchgnn
0.573626697063446,0.7043653726577759,OPPORTUNITY,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/OPPORTUNITY/MCORWrapper/v323_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5301/300_60/2026_0525_0951/iter0/eval_2026_0525_0952/metric.json,,MCORWrapper,,v323_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5301
0.5691162347793579,0.7020595669746399,OPPORTUNITY,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/OPPORTUNITY/MCORWrapper/v323_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5302/300_60/2026_0525_0957/iter0/eval_2026_0525_0958/metric.json,,MCORWrapper,,v323_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5302
0.5744345188140869,0.7052356600761414,OPPORTUNITY,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/OPPORTUNITY/MCORWrapper/v323_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5303/300_60/2026_0525_1003/iter0/eval_2026_0525_1004/metric.json,,MCORWrapper,,v323_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5303
0.5762729048728943,0.707112729549408,OPPORTUNITY,8,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e8_s5301/300_60/2026_0525_0948/iter0/eval_2026_0525_0950/metric.json,baselines,tPatchGNN,5301,tpatchgnn
0.5724619030952454,0.7137518525123596,OPPORTUNITY,8,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e8_s5302/300_60/2026_0525_0953/iter0/eval_2026_0525_0956/metric.json,baselines,tPatchGNN,5302,tpatchgnn
0.5764791369438171,0.7040669322013855,OPPORTUNITY,8,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e8_s5303/300_60/2026_0525_0959/iter0/eval_2026_0525_1002/metric.json,baselines,tPatchGNN,5303,tpatchgnn
0.4617782533168793,0.7535112500190735,PAMAP2,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/PAMAP2/MCORWrapper/v323_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5301/500_100/2026_0525_1009/iter0/eval_2026_0525_1010/metric.json,,MCORWrapper,,v323_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5301
0.46022406220436096,0.7529339790344238,PAMAP2,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/PAMAP2/MCORWrapper/v323_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5302/500_100/2026_0525_1015/iter0/eval_2026_0525_1016/metric.json,,MCORWrapper,,v323_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5302
0.4671899974346161,0.7567638158798218,PAMAP2,8,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/PAMAP2/tPatchGNN/local_baselines_PAMAP2_tpatchgnn_e8_s5301/500_100/2026_0525_1006/iter0/eval_2026_0525_1007/metric.json,baselines,tPatchGNN,5301,tpatchgnn
0.4734334945678711,0.7588169574737549,PAMAP2,8,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/PAMAP2/tPatchGNN/local_baselines_PAMAP2_tpatchgnn_e8_s5302/500_100/2026_0525_1011/iter0/eval_2026_0525_1014/metric.json,baselines,tPatchGNN,5302,tpatchgnn
0.461047887802124,0.7531895637512207,PAMAP2,8,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate/PAMAP2/tPatchGNN/local_baselines_PAMAP2_tpatchgnn_e8_s5303/500_100/2026_0525_1018/iter0/eval_2026_0525_1020/metric.json,baselines,tPatchGNN,5303,tpatchgnn
