MAE,MAE_gain_vs_base_pct,MSE,MSE_gain_vs_base_pct,base_root,dataset,model,model_id,seed,status,tag
0.4352666139602661,,0.6925963163375854,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate,MHEALTH,tPatchGNN,local_baselines_MHEALTH_tpatchgnn_e8_s5301,5301,done,base
0.43310514092445374,0.4965859926968097,0.6919969916343689,0.0865330480511002,,MHEALTH,RAMS-tPatch,v323_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5301,5301,done,gate
0.44334253668785095,,0.700092077255249,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate,MHEALTH,tPatchGNN,local_baselines_MHEALTH_tpatchgnn_e8_s5302,5302,done,base
0.43693748116493225,1.4447193744976423,0.6937323212623596,0.9084170781967982,,MHEALTH,RAMS-tPatch,v323_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5302,5302,done,gate
0.4520731270313263,,0.7106972336769104,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate,MHEALTH,tPatchGNN,local_baselines_MHEALTH_tpatchgnn_e8_s5303,5303,done,base
0.4353952705860138,3.6891943909235754,0.6954240202903748,2.1490464100327413,,MHEALTH,RAMS-tPatch,v323_MHEALTH_tPatchGNN_ramstpatch_gate_e3_s5303,5303,done,gate
0.5762729048728943,,0.707112729549408,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate,OPPORTUNITY,tPatchGNN,local_baselines_OPPORTUNITY_tpatchgnn_e8_s5301,5301,done,base
0.573626697063446,0.4591935152724044,0.7043653726577759,0.38853166925488286,,OPPORTUNITY,RAMS-tPatch,v323_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5301,5301,done,gate
0.5724619030952454,,0.7137518525123596,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate,OPPORTUNITY,tPatchGNN,local_baselines_OPPORTUNITY_tpatchgnn_e8_s5302,5302,done,base
0.5691162347793579,0.5844351035060588,0.7020595669746399,1.6381443349763156,,OPPORTUNITY,RAMS-tPatch,v323_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5302,5302,done,gate
0.5764791369438171,,0.7040669322013855,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate,OPPORTUNITY,tPatchGNN,local_baselines_OPPORTUNITY_tpatchgnn_e8_s5303,5303,done,base
0.5744345188140869,0.3546733955663499,0.7052356600761414,-0.165996700214514,,OPPORTUNITY,RAMS-tPatch,v323_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5303,5303,done,gate
0.4671899974346161,,0.7567638158798218,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate,PAMAP2,tPatchGNN,local_baselines_PAMAP2_tpatchgnn_e8_s5301,5301,done,base
0.4617782533168793,1.1583604416732398,0.7535112500190735,0.4297993366618385,,PAMAP2,RAMS-tPatch,v323_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5301,5301,done,gate
0.4734334945678711,,0.7588169574737549,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate,PAMAP2,tPatchGNN,local_baselines_PAMAP2_tpatchgnn_e8_s5302,5302,done,base
0.46022406220436096,2.7901347317149816,0.7529339790344238,0.7752829429269217,,PAMAP2,RAMS-tPatch,v323_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5302,5302,done,gate
0.461047887802124,,0.7531895637512207,,/root/autodl-tmp/APN/storage/results_BigData2026_v323_strong8_gate,PAMAP2,tPatchGNN,local_baselines_PAMAP2_tpatchgnn_e8_s5303,5303,done,base
0.45905381441116333,0.4325089526961513,0.7521173357963562,0.14235831276316782,,PAMAP2,RAMS-tPatch,v323_PAMAP2_tPatchGNN_ramstpatch_gate_e3_s5303,5303,done,gate
